Tanggal,Nama Produk,Harga,Jumlah
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-23,Konohamie Mi Instan Goreng,3040.0,1
2025-11-20,tomat,10090,2
2025-11-23,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Roti Tawar,11400.0,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Roti Tawar,11400.0,2
2025-11-24,Roti Tawar,11400.0,2
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Pop mie,12009,1
2025-11-20,tomat,10090,2
2025-11-24,Pop mie,12009,1
2025-11-24,Konohamie Mi Instan Kari Ayam,3040.0,2
2025-11-25,tomat,10090,2
2025-11-25,tomat,10090,2
2025-11-25,Pop mie,12009,1
2025-11-26,Pop mie,12009,1
2025-11-21,tomat,10090,2
2025-11-21,Pop mie,12009,1
2025-11-21,tomat,10090,2
2025-11-21,tomat,10090,2
2025-11-25,Pop mie,12009,1
2025-11-25,Pop mie,12009,1
2025-11-22,tomat,10090,2
2025-11-22,Pop mie,12009,1
